,msa,base,action_x,mil_out,civ_out,mil_in,civ_in,mil_net,civ_net,net_cont,direct,indirect,total,ea_emp,ch_as_perc,13
40,"Dayton, OH Metropolitan Statistical Area",Defense Finance and Accounting,Defense Finance and Accounting,Close,(9),(200),0,0,(9),(200),0,(209),(204),(413),"1,082,297",0.0%
41,"Lexington Park, MD Micropolitan Statistical Area",Defense Finance and Accounting,Defense Finance and Accounting,Close,(9),(200),0,0,(9),(200),0,(209),(204),(413),"1,082,297",0.0%
42,"Oakland-Fremont-Hayward, CA Metropolitan Division",Defense Finance and Accounting,Defense Finance and Accounting,Close,(9),(200),0,0,(9),(200),0,(209),(204),(413),"1,082,297",0.0%
43,"Orlando, FL Metropolitan Statistical Area",Defense Finance and Accounting,Defense Finance and Accounting,Close,(9),(200),0,0,(9),(200),0,(209),(204),(413),"1,082,297",0.0%
44,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",Defense Finance and Accounting,Defense Finance and Accounting,Close,(9),(200),0,0,(9),(200),0,(209),(204),(413),"1,082,297",0.0%
45,"Utica-Rome, NY Metropolitan Statistical Area",Defense Finance and Accounting,Defense Finance and Accounting,Close,(9),(200),0,0,(9),(200),0,(209),(204),(413),"1,082,297",0.0%
46,"Dayton, OH Metropolitan Statistical Area",Defense Finance and Accounting,Defense Finance and Accounting,Close,0,(120),0,0,0,(120),0,(120),(121),(241),"1,479,524",0.0%
47,"Lexington Park, MD Micropolitan Statistical Area",Defense Finance and Accounting,Defense Finance and Accounting,Close,0,(120),0,0,0,(120),0,(120),(121),(241),"1,479,524",0.0%
48,"Oakland-Fremont-Hayward, CA Metropolitan Division",Defense Finance and Accounting,Defense Finance and Accounting,Close,0,(120),0,0,0,(120),0,(120),(121),(241),"1,479,524",0.0%
49,"Orlando, FL Metropolitan Statistical Area",Defense Finance and Accounting,Defense Finance and Accounting,Close,0,(120),0,0,0,(120),0,(120),(121),(241),"1,479,524",0.0%
50,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",Defense Finance and Accounting,Defense Finance and Accounting,Close,0,(120),0,0,0,(120),0,(120),(121),(241),"1,479,524",0.0%
51,"Utica-Rome, NY Metropolitan Statistical Area",Defense Finance and Accounting,Defense Finance and Accounting,Close,0,(120),0,0,0,(120),0,(120),(121),(241),"1,479,524",0.0%
52,"Dayton, OH Metropolitan Statistical Area",Defense Finance and Accounting,Defense Finance and Accounting,Close,0,(290),0,0,0,(290),0,(290),(274),(564),"158,421",-0.4%
53,"Lexington Park, MD Micropolitan Statistical Area",Defense Finance and Accounting,Defense Finance and Accounting,Close,0,(290),0,0,0,(290),0,(290),(274),(564),"158,421",-0.4%
54,"Oakland-Fremont-Hayward, CA Metropolitan Division",Defense Finance and Accounting,Defense Finance and Accounting,Close,0,(290),0,0,0,(290),0,(290),(274),(564),"158,421",-0.4%
55,"Orlando, FL Metropolitan Statistical Area",Defense Finance and Accounting,Defense Finance and Accounting,Close,0,(290),0,0,0,(290),0,(290),(274),(564),"158,421",-0.4%
56,"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",Defense Finance and Accounting,Defense Finance and Accounting,Close,0,(290),0,0,0,(290),0,(290),(274),(564),"158,421",-0.4%
57,"Utica-Rome, NY Metropolitan Statistical Area",Defense Finance and Accounting,Defense Finance and Accounting,Close,0,(290),0,0,0,(290),0,(290),(274),(564),"158,421",-0.4%
58,"Asheville, NC Metropolitan Statistical Area",Navy Reserve Center Asheville,Navy Reserve Center Asheville,Close,(7),0,0,0,(7),0,0,(7),(2),(9),"217,211",0.0%
59,"Athens-Clarke County, GA Metropolitan Statistical Area",Naval Supply Corps School Athens,Naval Supply Corps School Athens,Close,(393),(108),4,0,(389),(108),(16),(513),(317),(830),"96,829",-0.9%
60,"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",Fort Gillem,Fort Gillem,Close,(517),(570),6,0,(511),(570),0,"(1,081)",(734),"(1,815)","2,777,548",-0.1%
61,,Fort McPherson,Fort McPherson,Close,"(2,260)","(1,881)",0,0,"(2,260)","(1,881)",0,"(4,141)","(2,705)","(6,846)","2,777,548",-0.2%
62,,Naval Air Station Atlanta,Naval Air Station Atlanta,Close,"(1,274)",(156),0,0,"(1,274)",(156),(68),"(1,498)",(807),"(2,305)","2,777,548",-0.1%
63,,Peachtree Leases Atlanta,Peachtree Leases Atlanta,Close,(65),(97),0,0,(65),(97),0,(162),(114),(276),"2,777,548",0.0%
64,,Dobbins Air Reserve Base,Dobbins Air Reserve Base,Gain,0,0,73,45,73,45,0,118,74,192,"2,777,548",0.0%
65,"Atlantic City, NJ Metropolitan Statistical Area",Atlantic City International Airport Air Guard Station,Atlantic City International Airport Air Guard Station,Gain,(3),(53),62,263,59,210,0,269,207,476,"175,797",0.3%
66,"Bakersfield, CA Metropolitan Statistical Area",Edwards Air Force Base,Edwards Air Force Base,Gain,(14),0,23,42,9,42,0,51,62,113,"325,440",0.0%
67,,Naval Air Weapons Station China Lake,Naval Air Weapons Station China Lake,Gain,(44),(14),198,"2,329",154,"2,315",0,"2,469","3,129","5,598","325,440",1.7%
68,"Baltimore-Towson, MD Metropolitan Statistical Area",Leased Space - MD,Leased Space - MD,Close/Realign,(3),(121),0,0,(3),(121),0,(124),(118),(242),"1,568,140",0.0%
69,,Aberdeen Proving Ground,Aberdeen Proving Ground,Gain,"(3,862)",(290),451,"5,661","(3,411)","5,371",216,"2,176","2,814","4,990","1,568,140",0.3%
70,,Fort Meade,Fort Meade,Gain,(2),0,684,"2,915",682,"2,915","1,764","5,361","4,875","10,236","1,568,140",0.7%
71,,Martin State Airport Air Guard,Martin State Airport Air Guard,Realign,(17),(106),0,0,(17),(106),0,(123),(114),(237),"1,568,140",0.0%
72,,"17) (106) 0 0 (17) (106) 0 (123) (114) (237) 1,568,140 0.0% Station Naval Station Annapolis", Station Naval Station Annapolis,Realign,0,(13),0,0,0,(13),0,(13),(12),(25),"1,568,140",0.0%
73,"Bangor, ME Metropolitan Statistical Area","Naval Reserve Center, Bangor","Naval Reserve Center, Bangor",Close,(7),0,0,0,(7),0,0,(7),(2),(9),"92,291",0.0%
74,,Bangor International Airport Air Guard Station,Bangor International Airport Air Guard Station,Gain,0,0,45,195,45,195,0,240,173,413,"92,291",0.4%
75,"Barnstable Town, MA Metropolitan Statistical Area",Otis Air Guard Base,Otis Air Guard Base,Close,(62),(443),0,0,(62),(443),0,(505),(322),(827),"137,499",-0.6%
76,"Baton Rouge, LA Metropolitan Statistical Area",Baton Rouge Army National Guard Reserve Center,Baton Rouge Army National Guard Reserve Center,Close,(128),0,11,0,(117),0,0,(117),(57),(174),"411,691",0.0%
77,,Navy-Marine Corps Reserve Center Baton Rouge,Navy-Marine Corps Reserve Center Baton Rouge,Close,(18),0,0,0,(18),0,0,(18),(8),(26),"411,691",0.0%
78,,"Roberts U.S. Army Reserve Center, Baton Rouge","Roberts U.S. Army Reserve Center, Baton Rouge",Close,(30),0,0,0,(30),0,0,(30),(14),(44),"411,691",0.0%
79,"Battle Creek, MI Metropolitan Statistical Area",W. K. Kellogg Airport Air Guard Station,W. K. Kellogg Airport Air Guard Station,Close,(68),(206),0,0,(68),(206),0,(274),(166),(440),"74,652",-0.6%
80,"Beaumont-Port Arthur, TX Metropolitan Statistical Area","Navy Reserve Center Orange,TX","Navy Reserve Center Orange,TX",Close,(11),0,0,0,(11),0,0,(11),(6),(17),"193,048",0.0%
81,"Bethesda-Frederick-Gaithersburg, MD Metropolitan Division",PFC Flair U.S. Army Reserve,PFC Flair U.S. Army Reserve,Close,(20),(2),0,0,(20),(2),0,(22),(15),(37),"727,010",0.0%
82,,"20) (2) 0 0 (20) (2) 0 (22) (15) (37) 727,010 0.0% Center, Frederick Fort Detrick"," Center, Frederick Fort Detrick",Gain,0,0,76,43,76,43,(15),104,81,185,"727,010",0.0%
83,,National Naval Medical Center Bethesda,National Naval Medical Center Bethesda,Gain,0,0,982,936,982,936,(29),"1,889","1,529","3,418","727,010",0.5%
84,,Naval Surface Weapons Station Carderock,Naval Surface Weapons Station Carderock,Gain,0,0,0,6,0,6,0,6,5,11,"727,010",0.0%
85,,"Army Research Laboratory, Adelphi","Army Research Laboratory, Adelphi",Realign,0,(43),0,0,0,(43),0,(43),(39),(82),"727,010",0.0%
86,,I-270 Corridor,I-270 Corridor,Realign,(16),(35),0,0,(16),(35),0,(51),(38),(89),"727,010",0.0%
87,"Birmingham-Hoover, AL Metropolitan Statistical Area",Fort Hanna Army National Guard Reserve Center Birmingham,Fort Hanna Army National Guard Reserve Center Birmingham,Close,(28),0,0,0,(28),0,0,(28),(12),(40),"622,605",0.0%
88,,Birmingham Armed Forces Reserve Center,Birmingham Armed Forces Reserve Center,Realign,(146),(159),0,0,(146),(159),0,(305),(193),(498),"622,605",-0.1%
89,,Birmingham International Airport Air Guard Station,Birmingham International Airport Air Guard Station,Realign,(66),(117),0,0,(66),(117),0,(183),(124),(307),"622,605",0.0%
90,"Bloomsburg-Berwick, PA Micropolitan Statistical Area",U.S. Army Reserve Center Bloomsburg,U.S. Army Reserve Center Bloomsburg,Close,(20),(2),0,0,(20),(2),0,(22),(12),(34),"49,836",-0.1%
91,"Boise City-Nampa, ID Metropolitan Statistical Area",Boise Air Terminal Air Guard Station,Boise Air Terminal Air Guard Station,Realign,(22),(62),0,1,(22),(61),0,(83),(73),(156),"314,811",0.0%
92,"Boston-Quincy, MA Metropolitan Division",Naval Shipyard Puget Sound-,Naval Shipyard Puget Sound-,Realign,0,(108),0,0,0,(108),0,(108),(105),(213),"1,343,997",0.0%
93,"Bremerton-Silverdale, WA Metropolitan Statistical Area",Human Resources Support Center Northwest,Human Resources Support Center Northwest,Gain,0,0,0,23,0,23,0,23,24,47,"119,170",0.0%
94,,Naval Station Bremerton,Naval Station Bremerton,Gain,0,0,0,"1,401",0,"1,401",0,"1,401","1,475","2,876","119,170",2.4%
95,,Submarine Base Bangor,Submarine Base Bangor,Realign,0,(1),0,0,0,(1),0,(1),(1),(2),"119,170",0.0%
96,"Bridgeport-Stamford-Norwalk, CT Metropolitan Statistical Area","Turner U.S. Army Reserve Center, Fairfield","Turner U.S. Army Reserve Center, Fairfield",Close,(13),(4),0,0,(13),(4),0,(17),(10),(27),"578,009",0.0%
97,"Buffalo-Niagara Falls, NY Metropolitan Statistical Area",Army National Guard Reserve Center Niagara Falls,Army National Guard Reserve Center Niagara Falls,Close,(1),0,0,0,(1),0,0,(1),0,(1),"643,318",0.0%
98,,Navy Recruiting District Headquarters Buffalo,Navy Recruiting District Headquarters Buffalo,Close,(25),(6),0,0,(25),(6),(6),(37),(16),(53),"643,318",0.0%
99,,Niagara Falls International Airport Air Guard Station,Niagara Falls International Airport Air Guard Station,Close,(115),(527),0,0,(115),(527),0,(642),(430),"(1,072)","643,318",-0.2%
100,"Burlington-South Burlington, VT Metropolitan Statistical Area",Burlington International Airport Air Guard Station,Burlington International Airport Air Guard Station,Gain,0,0,3,53,3,53,0,56,39,95,"145,790",0.1%
101,"Cambridge-Newton-Framingham, MA Metropolitan Division",Malony U.S. Army Reserve Center,Malony U.S. Army Reserve Center,Close,(100),(55),0,0,(100),(55),0,(155),(87),(242),"1,054,892",0.0%
102,,Hanscom Air Force Base,Hanscom Air Force Base,Gain,(47),(223),546,828,499,605,0,"1,104",662,"1,766","1,054,892",0.2%
103,,Natick Soldier Systems Center,Natick Soldier Systems Center,Realign,0,(19),0,0,0,(19),0,(19),(12),(31),"1,054,892",0.0%
104,"Camden, NJ Metropolitan Division",SFC Nelson V. Brittin U.S. Army,SFC Nelson V. Brittin U.S. Army,Close,(34),(1),0,0,(34),(1),0,(35),(29),(64),"619,919",0.0%
105,,"34) (1) 0 0 (34) (1) 0 (35) (29) (64) 619,919 0.0% Reserve Center Fort Dix", Reserve Center Fort Dix,Gain,0,0,209,144,209,144,0,353,326,679,"619,919",0.1%
106,,McGuire Air Force Base,McGuire Air Force Base,Gain,0,0,498,37,498,37,0,535,450,985,"619,919",0.2%
107,,Navy Reserve Center Cape Girardeau,Navy Reserve Center Cape Girardeau,Close,(7),0,0,0,(7),0,0,(7),(1),(8),"59,473",0.0%
108,"Carbondale, IL Micropolitan Statistical Area",Armed Forces Reserve Center Carbondale,Armed Forces Reserve Center Carbondale,Close,(32),0,0,0,(32),0,0,(32),(17),(49),"38,275",-0.1%
109,"Cedar Rapids, IA Metropolitan Statistical Area",Navy Reserve Center Cedar Rapds,Navy Reserve Center Cedar Rapds,Close,(7),0,0,0,(7),0,0,(7),(2),(9),"162,044",0.0%
110,"Chambersburg, PA Micropolitan Statistical Area",Letterkenny Army Depot,Letterkenny Army Depot,Gain,0,0,0,409,0,409,0,409,223,632,"65,783",1.0%
111,"Charleston, WV Metropolitan Statistical Area",Yeager Airport Air Guard Station,Yeager Airport Air Guard Station,Realign,(27),(129),0,0,(27),(129),0,(156),(89),(245),"176,245",-0.1%
112,"Charleston-North Charleston, SC Metropolitan Statistical Area","Defense Finance and Accounting Service, Charleston","Defense Finance and Accounting Service, Charleston",Close,0,(368),0,0,0,(368),0,(368),(607),(975),"331,580",-0.3%
113,,South Naval Facilities Engineering Command,South Naval Facilities Engineering Command,Close,(6),(492),0,0,(6),(492),(45),(543),(890),"(1,433)","331,580",-0.4%
114,,Naval Weapons Station Charleston,Naval Weapons Station Charleston,Realign,(170),(149),45,24,(125),(125),0,(250),(379),(629),"331,580",-0.2%
115,,Charlotte/Douglas International Airport,Charlotte/Douglas International Airport,Gain,0,0,6,0,6,0,0,6,2,8,"936,991",0.0%
116,"Cheyenne, WY Metropolitan Statistical Area",Army Aviation Support Facility Cheyenne,Army Aviation Support Facility Cheyenne,Close,(23),0,0,0,(23),0,0,(23),(10),(33),"55,849",-0.1%
117,,Cheyenne Airport Air Guard Station,Cheyenne Airport Air Guard Station,Gain,0,0,21,58,21,58,0,79,48,127,"55,849",0.2%
118,"Chicago-Naperville-Joliet, IL Metropolitan Division",Navy Reserve Center Forest Park,Navy Reserve Center Forest Park,Close,(15),0,0,0,(15),0,0,(15),(4),(19),"4,607,077",0.0%
119,,Fort Campbell,Fort Campbell,Realign,(433),0,73,9,(360),9,0,(351),(252),(603),"128,456",-0.5%
120,"Cleveland-Elyria-Mentor, OH Metropolitan Statistical Area",Navy-Marine Corps Reserve Center Cleveland,Navy-Marine Corps Reserve Center Cleveland,Close,(24),(1),0,0,(24),(1),0,(25),(8),(33),"1,301,423",0.0%
121,,"Defense Finance and Accounting Service, Cleveland","Defense Finance and Accounting Service, Cleveland",Realign,(15),"(1,013)",0,0,(15),"(1,013)",0,"(1,028)",(847),"(1,875)","1,301,423",-0.1%
122,"Clovis, NM Micropolitan Statistical Area",Cannon Air Force Base,Cannon Air Force Base,Close,"(2,385)",(384),0,0,"(2,385)",(384),(55),"(2,824)","(1,955)","(4,779)","23,348",-20.5%
123,"Colorado Springs, CO Metropolitan Statistical Area",Leased Space - CO,Leased Space - CO,Close/Realign,0,(11),0,0,0,(11),0,(11),(11),(22),"349,783",0.0%
124,,Fort Carson,Fort Carson,Gain,0,0,"4,178",199,"4,178",199,0,"4,377","3,310","7,687","349,783",2.2%
125,,Peterson Air Force Base,Peterson Air Force Base,Gain,0,(27),482,19,482,(8),36,510,375,885,"349,783",0.3%
126,,Schriever Air Force Base,Schriever Air Force Base,Gain,0,0,44,51,44,51,0,95,85,180,"349,783",0.1%
127,,United States Air Force Academy,United States Air Force Academy,Realign,(30),(9),0,0,(30),(9),(1),(40),(32),(72),"349,783",0.0%
128,"Columbia, SC Metropolitan Statistical Area",Fort Jackson,Fort Jackson,Gain,0,0,435,180,435,180,0,615,368,983,"418,871",0.2%
129,,McEntire Air Guard Station,McEntire Air Guard Station,Gain,0,0,418,8,418,8,0,426,260,686,"418,871",0.2%
130,,U.S. Army Reserve Center Columbus,U.S. Army Reserve Center Columbus,Close,(9),0,0,0,(9),0,0,(9),(5),(14),"163,565",0.0%
131,,Fort Benning,Fort Benning,Gain,(842),(69),"10,063",687,"9,221",618,0,"9,839","4,003","13,842","163,565",8.5%
132,"Columbus, MS Micropolitan Statistical Area",Columbus Air Force Base,Columbus Air Force Base,Gain,0,0,104,3,104,3,0,107,70,177,"34,053",0.5%
133,"Columbus, NE Micropolitan Statistical Area",Army National Guard Reserve,Army National Guard Reserve,Close,(31),0,0,0,(31),0,0,(31),(16),(47),"22,545",-0.2%
134,"El Paso, TX Metropolitan Statistical Area",Army National Guard Reserve,Army National Guard Reserve,Close,(31),0,0,0,(31),0,0,(31),(16),(47),"22,545",-0.2%
135,"Grand Island, NE Micropolitan Statistical Area",Army National Guard Reserve,Army National Guard Reserve,Close,(31),0,0,0,(31),0,0,(31),(16),(47),"22,545",-0.2%
136,"Kearney, NE Micropolitan Statistical Area",Army National Guard Reserve,Army National Guard Reserve,Close,(31),0,0,0,(31),0,0,(31),(16),(47),"22,545",-0.2%
137,"San Antonio, TX Metropolitan Statistical Area",Army National Guard Reserve,Army National Guard Reserve,Close,(31),0,0,0,(31),0,0,(31),(16),(47),"22,545",-0.2%
138,"San Juan-Caguas-Guaynabo, PR Metropolitan Statistical Area",Army National Guard Reserve,Army National Guard Reserve,Close,(31),0,0,0,(31),0,0,(31),(16),(47),"22,545",-0.2%
139,"Columbus, NE Micropolitan Statistical Area",Army National Guard Reserve,Army National Guard Reserve,Close,(106),0,0,0,(106),0,0,(106),(81),(187),"328,741",-0.1%
140,"El Paso, TX Metropolitan Statistical Area",Army National Guard Reserve,Army National Guard Reserve,Close,(106),0,0,0,(106),0,0,(106),(81),(187),"328,741",-0.1%
141,"Grand Island, NE Micropolitan Statistical Area",Army National Guard Reserve,Army National Guard Reserve,Close,(106),0,0,0,(106),0,0,(106),(81),(187),"328,741",-0.1%
142,"Kearney, NE Micropolitan Statistical Area",Army National Guard Reserve,Army National Guard Reserve,Close,(106),0,0,0,(106),0,0,(106),(81),(187),"328,741",-0.1%
143,"San Antonio, TX Metropolitan Statistical Area",Army National Guard Reserve,Army National Guard Reserve,Close,(106),0,0,0,(106),0,0,(106),(81),(187),"328,741",-0.1%
144,"San Juan-Caguas-Guaynabo, PR Metropolitan Statistical Area",Army National Guard Reserve,Army National Guard Reserve,Close,(106),0,0,0,(106),0,0,(106),(81),(187),"328,741",-0.1%
145,"Columbus, NE Micropolitan Statistical Area",Army National Guard Reserve,Army National Guard Reserve,Close,(31),0,0,0,(31),0,0,(31),(16),(47),"45,763",-0.1%
146,"El Paso, TX Metropolitan Statistical Area",Army National Guard Reserve,Army National Guard Reserve,Close,(31),0,0,0,(31),0,0,(31),(16),(47),"45,763",-0.1%
147,"Grand Island, NE Micropolitan Statistical Area",Army National Guard Reserve,Army National Guard Reserve,Close,(31),0,0,0,(31),0,0,(31),(16),(47),"45,763",-0.1%
148,"Kearney, NE Micropolitan Statistical Area",Army National Guard Reserve,Army National Guard Reserve,Close,(31),0,0,0,(31),0,0,(31),(16),(47),"45,763",-0.1%
149,"San Antonio, TX Metropolitan Statistical Area",Army National Guard Reserve,Army National Guard Reserve,Close,(31),0,0,0,(31),0,0,(31),(16),(47),"45,763",-0.1%
150,"San Juan-Caguas-Guaynabo, PR Metropolitan Statistical Area",Army National Guard Reserve,Army National Guard Reserve,Close,(31),0,0,0,(31),0,0,(31),(16),(47),"45,763",-0.1%
151,"Columbus, NE Micropolitan Statistical Area",Army National Guard Reserve,Army National Guard Reserve,Close,(19),0,0,0,(19),0,0,(19),(10),(29),"3,204",-0.9%
152,"El Paso, TX Metropolitan Statistical Area",Army National Guard Reserve,Army National Guard Reserve,Close,(19),0,0,0,(19),0,0,(19),(10),(29),"3,204",-0.9%
153,"Grand Island, NE Micropolitan Statistical Area",Army National Guard Reserve,Army National Guard Reserve,Close,(19),0,0,0,(19),0,0,(19),(10),(29),"3,204",-0.9%
154,"Kearney, NE Micropolitan Statistical Area",Army National Guard Reserve,Army National Guard Reserve,Close,(19),0,0,0,(19),0,0,(19),(10),(29),"3,204",-0.9%
155,"San Antonio, TX Metropolitan Statistical Area",Army National Guard Reserve,Army National Guard Reserve,Close,(19),0,0,0,(19),0,0,(19),(10),(29),"3,204",-0.9%
156,"San Juan-Caguas-Guaynabo, PR Metropolitan Statistical Area",Army National Guard Reserve,Army National Guard Reserve,Close,(19),0,0,0,(19),0,0,(19),(10),(29),"3,204",-0.9%
157,"Columbus, NE Micropolitan Statistical Area",Army National Guard Reserve,Army National Guard Reserve,Close,(8),0,0,0,(8),0,0,(8),(4),(12),"35,434",0.0%
158,"El Paso, TX Metropolitan Statistical Area",Army National Guard Reserve,Army National Guard Reserve,Close,(8),0,0,0,(8),0,0,(8),(4),(12),"35,434",0.0%
